msno,date,predict,actual
++FojTWzKjhz7uxsZXEN3KBpxSmSvPr2j9KEuLzVAm4=,2016-10-01,0,0
++N9C3T2DFC2uRZ9LYOJW0KSq1sG++54neJYETDmkkI=,2016-10-01,0,0
+//ToEDr8wVD2p6MVj9faZ1n6cPfko7KS/fk7ZdQcv4=,2016-10-01,0,0
+0fgBZzlFyXZqtdTd2scisNTu/Aq/PkC2SgCnFzNkHA=,2016-10-01,0,0
+18aVJEmDwulmu8ZmrOKTOk65GhCbq1K9R7NiTGYvk4=,2016-10-01,0,0
+1voKP++cH/QtJ8/MwIuAkbNr6oZNkNV07OBXJVDoB0=,2016-10-01,0,0
+32oxDzSTC/TbnnYGMgMwO6sJWdMyj3Mo1XJpgpWm8A=,2016-10-01,0,0
+3ngpwhD/tafAHCmtRP0XvC7iR6TUB0untjbWG/bafQ=,2016-10-01,0,0
+4Fih84ZOTiKOWuOwbe8tKVjBtFb0pclE8VTBn3yho4=,2016-10-01,0,0
+4Q2mV/JrvxS7dNKQeL8afV1NAgvlDXTuuPvsvCbU7Y=,2016-10-01,0,0
+4i9SsqfPBEaUmtyNLwSV5oAe/mD8DRvvX/oKpJxvFc=,2016-10-01,0,0
+4jxofg8mCmdXhpOhhi3Ts0/UK7uiLTrdrG1OllAEmA=,2016-10-01,0,0
+4zxdoYNyq0Ga/Y0W/EaHHP99yFnmRpMgpXat5c1oA8=,2016-10-01,1,0
+5cfod33RYM/+uWBnJUxQIohJ1gfQbvEhV//CKAEs4k=,2016-10-01,0,0
+5o0SwL8kfZxey0vFgy/793QRvJhxp1ewW3NyynyZmg=,2016-10-01,0,0
+64k2SoN6T0w/egYa2GrdGYkAgPCtBQ0i7e1Fgx6rK4=,2016-10-01,1,0
+6BX9csb/Q5Y3cDMGPpgdA2mdtkuy6nrwPl7fKNNs4g=,2016-10-01,0,0
+6MmKI57a/OaoSfFwDXiGMUrv/D+Rrhs+gdcTcPu824=,2016-10-01,0,0
+6kfUFs/hjHh94ol84xs+d3gKeQCpv8XWGcBPAK0/84=,2016-10-01,0,0
+7AIwbY5Rm6PX9C1axmKFv5GjB8zlgUgxPoVMMDY6mA=,2016-10-01,0,0
+7gmArXV9hP6UnR9VQqAb9eHAKXNJ5Ls9btqYm/CsYQ=,2016-10-01,0,0
+7soEN8JZBUGzaiDzTFkGgGrpMYz9h94sNd485EP/Pg=,2016-10-01,0,0
+84y4av/KuypXE1CJ65+4e1o0DlGyp5q9FrQ+3qDAWY=,2016-10-01,0,0
+8Tt06N7mWIpAtWY9CH9Q2UbNCyepYpd7K9aLjP3MLQ=,2016-10-01,0,0
+8hzjolC2kzFYfrpxaakZMx8DM+NHtY0WcQUwAtUPc0=,2016-10-01,0,0
+8ujfZq35ghtqQnKMzBUlaIW4b/nWA01poFIINf+axA=,2016-10-01,0,0
+8wYc3ofo8oEh52D2SNZ9bwO/hfpSEe8zmKnk31f8mc=,2016-10-01,0,0
+9/EtB5mh8MZapFR1d1EdAjPJMvLg6N6X5uPE9ecbp0=,2016-10-01,0,0
+92x0odcWLTpIw0iK0t/SEb03YZJaZWzHtN7Dfe7C/g=,2016-10-01,0,0
+9D83VYP0spPDXCH0uADWSu1CGFLffj0sGLQl70FOfs=,2016-10-01,0,0
+9SjZmGxrLDZtSpyOYzcZ7VgYS7oYvsxgMZf+B/fY5c=,2016-10-01,0,0
+9gP9Y0VU2hJ+tT0FTBRGMd1SsjqPmIYpoEkPo/DXh8=,2016-10-01,0,0
+9v/KfHW1AuWGSHAvlHeG763/QxCBagbTJZiL7b4o7Q=,2016-10-01,0,0
+9vRDc2IQoV/6L1LRRA2LjVVDMVPb8R3oGKjn/KnTeY=,2016-10-01,0,0
+9x9sTZSCLEeOn/HncN9fi0sAtXaMk/Y1vb5aCXM9EY=,2016-10-01,0,0
+ABbvMtWBvOqJspuTBxVcL+QbpoAhT1AgNZGHLhKGcY=,2016-10-01,0,0
+BcGKasy+D4fLL2OwkRwXBpAwbjuEghSqQrOJpEpV8o=,2016-10-01,0,0
+Bd/Amp0SHo3AKLkMTQ8MwC/Re8K2l8X9wsPbujaUcg=,2016-10-01,0,0
+C5fscPj+IeTDR8DrykynLXRNzOVlW7/RS1f7QB3Rg8=,2016-10-01,0,0
+CGSUxrmY+apFKHxHO0oPpPlsEIYTzYYK1tBplRk6+Q=,2016-10-01,0,0
+Ce8fXAG3AqAClLttLMdznmzaJZ5BP5erUAeM4fBKPE=,2016-10-01,0,0
+Dmc61GdzaGnZswyxZ4Hwiz5KZ6TkAtAZdpUXv/6El4=,2016-10-01,0,0
+EAf2WFsopb84wz+grd6/+IUuyVxVX9u7Ipq9F+jaCY=,2016-10-01,0,0
+EFrmx+iRbQDtAIj+1yIg7LE8w+SMgUL4vQXZ1PmHak=,2016-10-01,0,0
+FQfIQ5l5l10tASXSk7+8aji2No3oMVA17KPdk6qG2Y=,2016-10-01,0,0
+G4C4KZAaHecPkJD9oXTm7lhPFeolL8CPJVohI/v5jQ=,2016-10-01,0,0
+GNKI+06cVdFWE+DAYIlrG2E7hxDp03h492Nuyt4M68=,2016-10-01,0,0
+H1nw6VVnaR2dYYL4Z7jAUE8w/BjZc/d4CAAzWeSuiM=,2016-10-01,0,0
+HVCKPO9RiF7JRPc52+o3A1/6v0etBBu4mbtjWJEv6U=,2016-10-01,0,0
+HlaPApQophvUVz8FgOXzBQXT+avcKDvweUOSh7VBr4=,2016-10-01,0,0
+HqeVdYW4WhtAbszytWEXAPd/NH1aLk58YhzKB4obn0=,2016-10-01,0,0
+ILwrZQXy6f9LviElVxVD/Ds60vuV8cQmm6rg5OJW2k=,2016-10-01,0,0
+ISRQWVVfmi/nuSzwOvAyzXrT47DFvmXtvEzBu+kf/c=,2016-10-01,0,0
+KJMo2cEWVY3DTuG6472VJOqp4XjRU8TbZzF24GXPiw=,2016-10-01,0,0
+KgsDD/EfdRZiCPtqYzZNShIc820m4lv+UqYqza6irM=,2016-10-01,0,0
+KxzOHsX045qz+xFKvmoIWLNpranlGawym34UuL1wV0=,2016-10-01,0,0
+LWm0e3WtfpIjFwhEIGCKZ0YQhLOieKo0dDv73dJUgk=,2016-10-01,0,0
+Le3juZRAG3toPki0eJZw9//BhDkOGmUpvp8iO5aB2I=,2016-10-01,1,0
+M/3XjxAHwLEl7ULVve1VdNp4Rba/lxxfYxIeHb01w8=,2016-10-01,0,0
+MjaUadYfqUakOwhsft3ZcEXuoo3uTormQd/JATmVhE=,2016-10-01,1,0
+MxLXO1FYlpaCS1uTilrFa/QDiuRdDeGLvEVmGvKPo8=,2016-10-01,0,0
+N9luvlUGJ9vR4xI7hVJarsesi7frgKnPmKyrSMRtcs=,2016-10-01,0,0
+NaskMBViAsX3TJJ9cewS4uoyZtpmTkbpc02GyOCMJo=,2016-10-01,0,0
+OPp2il0yGiFzDMa2LE+y25QeYpYHG6+L+p0VsJ+Gg8=,2016-10-01,0,0
+QufprUlitt5OG48/1GJ9b/njjlGBcTy+q4ltP3Jc68=,2016-10-01,0,0
+RRfvCdAyHvylgIL7ET/Rfgr3thzOLF5mIliXXAp0to=,2016-10-01,0,0
+RRtDiaWC+abudVaW4DFjJYJdpZ1ugfij1MBGuMdBP4=,2016-10-01,0,0
+SGyfGxwbfXHQ6/FjynKwKYhbu4WrQ7N3fBUH4Td8/c=,2016-10-01,0,0
+TSUFChO75agpvv/81SUqmqvA6BrCFMb/d16D+1it9s=,2016-10-01,0,0
+TTn0VJn1O/b9MPpiRgL5sHvNzDVsn7vvLN/A89dRiY=,2016-10-01,0,0
+TbIOm/gkFPUXHztbdxdafOxlS269A/acoH4fC4OVM8=,2016-10-01,0,0
+VDWgG0nKD9PDGOvALvBtFxhh5EWK89gN243cYgisl4=,2016-10-01,0,0
+VJ9E/5g/gexVU+blKGRIL1dcmjsS2M5va4yEdQHi4k=,2016-10-01,0,0
+WJRXWAQrohj5Up3Tac1/keYZ17eCcj6wUgf8C0mKOk=,2016-10-01,0,0
+WohuWaLS2MKkehmgXjA/eMxj7yCpGapkwNU8DdQkiM=,2016-10-01,0,0
+Wxd4LfxNVHVbkZGB1gsxlo5/WJrwvL2OZgwSK6P+Kw=,2016-10-01,0,0
+X8qK4IT70LIpfDg82O9DI51Zka/wBTE1y8IJbu8O9M=,2016-10-01,0,0
+XR4acbBhrUCpFh0mGHcyNlYw6gteV6UNwS7m9QVxhY=,2016-10-01,0,0
+XZNtZiYnXhFugLeqMLMcC13OAs6Wn6JpEUA5KfOmCA=,2016-10-01,0,0
+XnPrNLsGwNrelMzCO0yfx+aK7JkiPJgGeR5/jIc10E=,2016-10-01,0,0
+Y7U6BmykyKY8SiqwdCF6eO+QU8662hOYCRrYjz6l7k=,2016-10-01,0,0
+ZoOKuQVJGpNIePjPKbFEq1QEGRPmPIhkDTxGGKxPRs=,2016-10-01,0,0
+ZrE1N/Za4SXdnisHUhAW91TxOfxJ+E3IGTmGmIlRJQ=,2016-10-01,0,0
+ZzTssSPzvUT7YreRspToA+KGvyKbBmYy1ymb2SX4S0=,2016-10-01,0,0
+a4QONTDxQXbRjRW415vL91wtLs7jji73rF7A+DLGsc=,2016-10-01,0,0
+alyon375SCYyhat7K16SSCpH/5NsKFrfHazA3K9ieg=,2016-10-01,0,0
+b4255l78gXgavTI/xZtgv9F/zek7lUD8VqciJJcl+Y=,2016-10-01,0,0
+bm9WFiXso3VXQLimBGMXflN3giXjLOH4N7Km+91/x8=,2016-10-01,0,0
+brhYezODenoN27WSGiWCkFQ7BgIXF1h1/4YBf1SmVg=,2016-10-01,0,0
+bzC8g7eQuMV5JLjXCdC8k98+gOWgnDdUDUGW1s+/uU=,2016-10-01,0,0
+cIv0AJiZixNVebK7k66Wkng2aF7lfpEBvd/OgjPhuw=,2016-10-01,0,0
+cwEfVCPYjuwiLanmSmTTUduDq3bLKtAwV0vuGAB7gI=,2016-10-01,0,0
+cyg6VUnCNpEEClN1tJkSISA3+T9LaP/pvEe7V9QS40=,2016-10-01,0,0
+dGDu0xdOBA2/eq/ovl8FiOhE0cKmRnN6AQHpf/U9bg=,2016-10-01,0,0
+dW7Ao+QBBIDEb+7QppaHavMfm/kmSr/KNxpx0ZsU2I=,2016-10-01,0,0
+e/xu48ZYArH+vvQieRIeBT4JOZkmr4UeYBAJL7PFec=,2016-10-01,0,0
+ee/xb9K8ApAa4ea1Q7HHhu0rvI8kGJly+A0HsXrDU0=,2016-10-01,0,0
+euLXsAJe3dE/tT3ariKqbz8IXsV7UsJw84fwu7nSCU=,2016-10-01,0,0
+fK1CI9NuVIUj8L1uva79W4Hprcm/L1BRNiMnn4ABTQ=,2016-10-01,0,0
+fy1tyrb7hTaXzxgtB6pgle165r3G97XhX/eTA5o0KI=,2016-10-01,0,0
+gLncfKVn5nYxIvsPez2Jwt0sqfRExKPTeBDWrqu6Tc=,2016-10-01,0,0
+gYh6LxDqyiMVQf6tJ68c1xfSEe9niljL87yqSUtJJY=,2016-10-01,0,0
+hpJFWTaEEqCJZloZ33HzY5BmhW1tOA5P2DaJTKDvoU=,2016-10-01,0,0
+hzHZe5qiQstXepFbLzQt42xGJhTzia39Uy6BzGOywU=,2016-10-01,0,0
+ib7IotbKHRjUjueKziEHoUmESyZy9xB7NZtNsn8ePI=,2016-10-01,0,0
+ieqExRG729SU1DUqvoWGLkdGHmxbw4fzFBeeoJmTPE=,2016-10-01,0,0
+ir7A8Rkv1eOOUSfUX5tufQhsFxIP3NwwooM732upYw=,2016-10-01,0,0
+iuI6/MBj0RHBY7Pra9VtOuU09Awiii2R2w/eIsyOMA=,2016-10-01,0,0
+jE/A+cbJQRYIYuAP2Z7AzOEN9Pli2zDSvNe7N87tb8=,2016-10-01,0,0
+jjZntZDzEcbApt0MuFi5Ui4HEThn2FibDaFTcmd32Y=,2016-10-01,0,0
+jo0Puly2QWnS1gLLoVPS2BJlAuYB9irgDBSjwgzgWU=,2016-10-01,0,0
+kFS9JYNFDusumsV8dvOut+zuNWr4RfD90AvxbawqwI=,2016-10-01,0,0
+kN7qluzs0wSJkQbyMrxAYdqCQAVUnM1IJJbKaS0stY=,2016-10-01,0,0
+kSzluXfWqBj02SlZHgJN9KAR46om4z5hEFoo5G/1i4=,2016-10-01,0,0
+ksXyAn9hT8MEkcrM8Mrr+Vx5eWrJ9wVZ45bkcRPIk8=,2016-10-01,0,0
+l52Pw9q6R1rohJ6odPL/tt+oGcceW6916FBC7VjecU=,2016-10-01,0,0
+meJ0nckikSyEixQpiKUbjwSn2t0ByTYAG0JW7NhNDw=,2016-10-01,0,0
+nHfQ8WVUsHL2tzlhNMWtSAbQxOQnssIlS7wlR2hweA=,2016-10-01,0,0
+nQccnpq4sW/YlIAANg63ZKjmARKGSTZN2utsVDV5Vc=,2016-10-01,1,1
+ncT9q/vJYNF+8KnAogODvsCnee+RdpCodRzGkD3NRQ=,2016-10-01,1,1
+oMB9x7dw43qXVC2bC/wHvr0yYtHxRfvYmP1f2w3X6s=,2016-10-01,0,0
+oUYB2HUzxrYh7Ztcnc8YHtYezzjvKPN1b/WatQnfjg=,2016-10-01,0,0
+p5n3qGX8q1V9pjn3BN1Hp67OEg8BPKScTK5xLvkp5g=,2016-10-01,0,0
+qOK7NOT0b1lafpkx3J3FUKondFd7/GPYOya7kNBraQ=,2016-10-01,0,0
+qa/lxuqhGIK3mZt+VQPuO+BCda7NVGsFBehB0mfZZ4=,2016-10-01,0,0
+qaq6qc+YFlw7JaqOV0h+AwzLu7G36qsvT7Rmj5uJYk=,2016-10-01,0,0
+qhvGkdRce1Qab1mShNOzUB9HLjySe5uCuKEv+WOb5M=,2016-10-01,0,0
+rJ6+Yn4SDe1lPjtWqaiTAYLWYFWfoykx+hCuDLfVsk=,2016-10-01,0,0
+rxoAr13wBnPWEz4nEYNzmWA7qVg4PJXoPUGSVrVbDg=,2016-10-01,0,0
+s6nCm6yAYBkuE304u+A2FlSxweOIYwXswLIPJZulhU=,2016-10-01,1,0
+sBVglC7oAAR373synZE8Ad4EXakPcUkFC/FH3WkHoo=,2016-10-01,0,0
+sNSHhD4AJoV8VaaQlmL8L3Ovo9kG+E6R6qS54Z24wY=,2016-10-01,0,0
+sTREPEMOxt7U2pNuXQIryIxmxKJMv5uNqHzpkhSc6k=,2016-10-01,0,0
+soCItSeX3CLOXajC9PMl7B7Ry7Fnki+WkCp3NMcwGk=,2016-10-01,0,0
+sx/XeY+m2pK4BaNs2l9ZcMnjL91b3hAVUhLZjj7ZCE=,2016-10-01,0,0
+t4XwtQSDQfqyk7OqqMn+yGbvvb72coNEEEUCbzKw+E=,2016-10-01,0,0
+tXeQcvZoNKTBZc94dHb5Vvhof1i+6VG0yCBFLggTow=,2016-10-01,0,0
+tkpA6UPFBdjhd7kFBU1xlp768d7MXmkrDvC1KFfk/k=,2016-10-01,0,0
+uA0Fifpsbou41V+60VFkNFM+GhBqhJ+g2Pfm4wSuzA=,2016-10-01,0,0
+uMLyZ+MQcWVK+Zt8bQhs59nLJ5Z1bP5JY4mfdg41nY=,2016-10-01,0,0
+uMu0q8XLF6XNTLf5deBD+eQqUGAzxs/o4qnG/zO8Ec=,2016-10-01,0,0
+uZEOFDWYYj2qiHvVWWAch83fliw386CuizkgvJMIIQ=,2016-10-01,0,0
+v+o/KgNenkHIqxS7X3Y9k1/d4sCZzsUcAEhml3hmjc=,2016-10-01,0,0
+vNuam0HIN72D5nFkaDLTuDxL8hdsjzID7/3l0Klfh0=,2016-10-01,0,0
+vSsg5j7/1/lCU0BN5vellEiM+O6upHl4D0Q/WrxNKU=,2016-10-01,0,0
+vbe82cxNNrzcuPSeLgSoemv+kht/F1k6ith92Y1z9Q=,2016-10-01,0,0
+x0YC/pvoxWu6P8qSPzMPqNwE6H1M2tkTnRyzZONOwc=,2016-10-01,0,0
+xLMycASu/Y8CAg5XisR/AUEGeHbDWLsgesmLj99unk=,2016-10-01,0,0
+xV6hPvB5zw3WpPlPcoXPSXYIjfAY+ainS1G1/Qyj0c=,2016-10-01,0,0
+yLVCtldT8BVdtssBBLMpCFdYizm/MRSRYxv+agOhdA=,2016-10-01,0,0
+ymkdIT6W/M/JahrIfBV9TSzm7jFctD6uf1cT+lDcmU=,2016-10-01,0,0
+z2Qdiv8EY26ZcYj6puLIWCZ8jL6LHwDb1YX2TSG8fs=,2016-10-01,0,0
+zYRfkdscN1brM6MsEvkWpzhdBfXnETmw/ZJMABGTZU=,2016-10-01,0,0
+zeQMWJj3Lu/TdbT6BR2kxGdPamDvdpPrTGTrHBLvvc=,2016-10-01,0,0
/+6wBraQ2KcTR6oDAS1cidhXr67jcFIrHZepV/hUFUY=,2016-10-01,0,0
/+PBQitZGcJ7ASeZeHEAUCMOkCJqhvNVfRuREM6lVE4=,2016-10-01,0,0
//8WziQXa8NgLpNL75Y0DpPGxy6Em79sos20XA1l8tw=,2016-10-01,0,0
//JrJATHAxTSiOJj6ZYb/oW/T7ORpc7gtDeJEEamyDs=,2016-10-01,0,0
//gyS3h/TB7hba/pqQDxfPI0glGDkk2R4KUC5mNB1zo=,2016-10-01,0,0
//jOwGjPgrBdjcy8hC9y1zBgGNLBFzy1S5PLgwg0wQ8=,2016-10-01,0,0
/0LFeQ96h+PtMxXTiltYuUp+1K8YsdrgUkk1gpi3nG8=,2016-10-01,0,0
/0cUboNFs8BR8HvEs1R/t0H5PoLpsZVGtpbS7MwhQ2M=,2016-10-01,0,0
/1mZmTn7caiOLO2MctyZFEM+WQdBVoX2WaAWplkNTmw=,2016-10-01,0,0
/1srffr1mhiqZjQhIU7rz800t5aUtPLIFNL5VlGYwq4=,2016-10-01,0,0
/1xmU7bF0IgLvdqFb10rf1ZY+08sFYI14LML0ytPeCE=,2016-10-01,0,0
/237cjDgNq2ASNlFI2uNW5NCXVHnxUDBLGUPpEG1F1A=,2016-10-01,0,0
/262WsqCG1laRSt0uUcqCVEBuCF5qyGE1vA/lXm8a5E=,2016-10-01,0,0
/3CoT79QBYAERxaciteMOZUPG6RWQyXb0YNOFB4+gg4=,2016-10-01,0,0
/3oF+Sy+Ika/Uele3iRBZnVu42n65Qy+kbpIRC1MvfM=,2016-10-01,0,0
/4NjQDFKHTOqSA55CrWlYd1lgf7hV2CuBOE31lxJQEA=,2016-10-01,0,0
/4NtFxX7SYt/YIS6DCGKPfgNcjLavgncdIamaC/vDnk=,2016-10-01,0,0
/5IciXEqack1T4ApXV2f/pKvhryFdX3jumPyIH15Mtw=,2016-10-01,0,0
/5S796hIxfumMKMg32C/osfbTc/aTJIq8ALecGuY7c0=,2016-10-01,0,0
/5llp5WS1IAP6Ikoy66KZRUQeAd4LxnG7butqREghlM=,2016-10-01,0,0
/6AU7AFVpyB7BI76QjokhsbkLuJdMIUimtfloBDhZ1w=,2016-10-01,0,0
/6Nr52nJTnc52tFuChTaJ8AJmb3W94Y+ur8KBsErAaA=,2016-10-01,0,0
/6PAZBcwlLPavgkgSyBNaOubtQUy2s8VDNhNVFNWn1U=,2016-10-01,0,0
/6akyH5GWOQcwaMP25qkeonRYWr6We2im0KApRQAxFQ=,2016-10-01,0,0
/7DUfRNHCH6Jzev9RWmlsgEpy56KZqKnOm9dpBFNtr0=,2016-10-01,0,0
/8G4mEXBqyyFy3fBVSxgvUQCWLclZgTL9YDVC4WaqXk=,2016-10-01,0,0
/8cOsJ4DoLqGVCJbxYLrSG27VUeKXQPrWVVnm5t8AqA=,2016-10-01,0,0
/8nNPp5+v2sm4+arQf/L1/5X5P/2T/6MhLGJMDsiO3A=,2016-10-01,0,0
/9HZClqpxGv155G2d2o75q1pX5lmOJDVS2te3TVszt8=,2016-10-01,0,0
/9hEB7PljzxSI7JzabBorNbiXHBp/NYDrifTICd6Ju0=,2016-10-01,0,0
/9n93si2DMc3YoaV19ohSX8oRegN918TmgstIL7mavU=,2016-10-01,0,0
/9yZfFHTgj2a16tRT6n0mHQQGxjCuJIUNYSDNDlqALA=,2016-10-01,1,1
/A6sqt60VJBGT59/JZXPvBXKY9uW/5GofKHv8f9hKco=,2016-10-01,0,0
/AE3Oenue1zDEbNzBlPOMZflzhHEs6AjTYPJT63ZATU=,2016-10-01,0,0
/Aqr30JUfmYspGdSrtwj1zeB7AfNpTcZQawGlLQp988=,2016-10-01,0,0
/Avu5fPm7P+I1VeASu4RrQHS7+aJ15MAfEs9gXR+OnI=,2016-10-01,0,0
/BXOZED6dXgdGp/tsdMNxBXBZA3HpKwcGKzfFACWem8=,2016-10-01,0,0
/C3tgpjdAgMziAt1AiTRi5CtKTM4tlZ6qdDuzgW3G1A=,2016-10-01,0,0
/CIfbxG5k9VhQmjueXZUmo9bSqcwFYYsoNb4LqEmsOc=,2016-10-01,0,0
/CwPIMcwcjl4Rd35ttacjE9AOfmkR2aAsjmqasuq9RU=,2016-10-01,0,0
/D9t50CaiwQlkXCwE/R6ruTG76JMARURLKU4QOgY3Tk=,2016-10-01,0,0
/EO+K6p4mvBjkCUp9ygZVyfnghhWZwe+8Flu00e+EZw=,2016-10-01,0,0
/EwIw5Sem+I5scuMTuuAoPB+QjbmceVtVe86Mdc603o=,2016-10-01,0,0
/EzYTRkKY1PT+MRXlfp9CjgI1xSqqfuCn6LChDetVsM=,2016-10-01,0,0
/FkIq9Jr5PxXC7F/AjLShtodQa/v7Pfpo3LqJKV02KM=,2016-10-01,0,0
/Fn9dx25QSQK3CX5wH7IDFFwXBgLq64VoWONnggPfO4=,2016-10-01,0,0
/G6w5ylcL1kfmxLZN/8dqST0Bj2Rq+EuUfMp1WRps94=,2016-10-01,0,0
/GrjPrFE6X+kGJH5b/akkJPflXPk1YiH5JMtARaJxnI=,2016-10-01,0,0
/Hbr5bK9tBQPBwMftx3Iaiz7EzA+yieWVRrx1c4fGHA=,2016-10-01,0,0
/HxfLuIbiTk4avwM6ppz4QUqv3l69e8AvqujL5qZONw=,2016-10-01,0,0
/ISiMkyu7xbquBbEMscOccQi/FMzxOCEx8fpbIrzGhA=,2016-10-01,0,0
/J3cOG3MImsyqWWxRljVnZqGt+oGwQb9vorJyQgLFwk=,2016-10-01,0,0
/JwOAzMoKsc8gJiT7NpgI6iKXTfFkYSBmscclL81U50=,2016-10-01,1,0
/K7RPqMc8ASipLpcZL9qVbdkDjXoJtOWmhHyknkt+MI=,2016-10-01,0,0
/KLxA0FHuEJs/AcYksqVC3Wqc3ui063GKSVhE8YkhGM=,2016-10-01,0,0
/KfJY5oWSqtO9Cu4TIP367gyi+jhrU+zoAvNdDM7DrQ=,2016-10-01,0,0
/LAeVqrcxzauoCSvNrz5DWYailgk+EDHM/ugpGWbNqw=,2016-10-01,0,0
/LD1A0Y+Ed6e7qwJ99sOIkeNMSYqOHUZwLvDFTx07lc=,2016-10-01,0,0
/LF+NcONy6aHwmdlN0iNQbBpFTr2nOKrklhUFXAHccU=,2016-10-01,0,0
/LdaFsEJhTIVYqudtN5Vfe9PyN2zfOt+RN2KbNhOKIs=,2016-10-01,0,0
/LsK9SX91OhUBflHgQCWcJVL20SuFZfyc8MEK0A4q34=,2016-10-01,0,0
/Mtc5FDrFOjzeaLl/77Uu+v2SHyLTdzGDkje/bgDhTo=,2016-10-01,0,0
/MwBhFcLwvM2bo4eA8/LYZMxYCbQajwqqQ9olKAB3SA=,2016-10-01,0,0
